iter	RMSE
254	3.257215614
255	3.255467301
256	3.253703131
257	3.252783671
258	3.251041251
259	3.249699399
260	3.247926239
261	3.245249479
262	3.242988411
263	3.238641172
264	3.235814151
265	3.230714277
266	3.22893057
267	3.227026218
268	3.223803641
269	3.221693591
270	3.219035637
271	3.217846333
272	3.213813506
273	3.208953503
274	3.206429754
275	3.204985195
276	3.20026755
277	3.196604098
278	3.1937627
279	3.191492301
280	3.190207515
281	3.189339679
282	3.187735353
283	3.186843339
284	3.185222157
285	3.180924223
286	3.179323084
287	3.177240896
288	3.17320412
289	3.169378946
290	3.16840479
291	3.16723381
292	3.163490504
293	3.160702852
294	3.158538456
295	3.154193088
296	3.150606664
297	3.147913504
298	3.145940046
299	3.141922264
300	3.137749192
301	3.135100037
302	3.131716253
303	3.130307976
304	3.127396549
305	3.125263826
306	3.124450469
307	3.122661953
308	3.120112979
309	3.117609758
310	3.113509348
311	3.109252265
312	3.107443664
313	3.104355798
314	3.100847276
315	3.09753475
316	3.095525707
317	3.094419256
318	3.092694781
319	3.087300719
320	3.083910002
321	3.081372552
322	3.078756002
323	3.076737777
324	3.075476821
325	3.071937935
326	3.069217945
327	3.067949424
328	3.066714824
329	3.064510315
330	3.060787164
331	3.057245386
332	3.056049608
333	3.053312802
334	3.050391744
335	3.046729924
336	3.045013465
337	3.043442555
338	3.040884429
339	3.03953955
340	3.035889727
341	3.034688434
342	3.032233714
343	3.0307677
344	3.027771675
345	3.026225002
346	3.024844752
347	3.023123502
348	3.021291643
349	3.017166334
350	3.014666747
351	3.013373056
352	3.012119203
353	3.010623409
354	3.008427532
355	3.004453976
356	3.001623958
357	3.000399538
358	2.997955381
359	2.996351133
360	2.992747857
361	2.99044693
362	2.987694792
363	2.985340042
364	2.983906443
365	2.981603413
366	2.980355108
367	2.977808806
368	2.976865043
369	2.975018568
370	2.972210275
371	2.970176447
372	2.968811888
373	2.966634099
374	2.964294624
375	2.961668922
376	2.959258601
377	2.956512965
378	2.955383687
379	2.95373638
380	2.951691821
381	2.949778979
382	2.947889486
383	2.946709484
384	2.943803917
385	2.941793249
386	2.939298938
387	2.937145915
388	2.936176506
389	2.932736506
390	2.930363541
391	2.929069313
392	2.928413399
393	2.926397516
394	2.925268564
395	2.920776208
396	2.91767525
397	2.915384188
398	2.910653261
399	2.909707982
400	2.90774237
401	2.905647554
402	2.903193659
403	2.902308087
404	2.899095941
405	2.897309928
406	2.895714007
407	2.892891819
408	2.891252337
409	2.889060298
410	2.883181027
411	2.880928917
412	2.879477685
413	2.87718903
414	2.876760337
415	2.873312318
416	2.872478731
417	2.871415569
418	2.870346238
419	2.86859817
420	2.865189107
421	2.864306952
422	2.864005798
423	2.862487105
424	2.859389552
425	2.856967172
426	2.854050315
427	2.85087138
428	2.849218715
429	2.847043033
430	2.846176725
431	2.84489694
432	2.844262449
433	2.843215386
434	2.838945788
435	2.834907198
436	2.832674732
437	2.831121958
438	2.828430003
439	2.828186418
440	2.826608222
441	2.825224607
442	2.822829602
443	2.820877537
444	2.818776229
445	2.815463848
446	2.813514013
447	2.812309337
448	2.811154438
449	2.810039349
450	2.806865124
451	2.804896623
452	2.800590943
453	2.799720782
454	2.797317454
455	2.795890644
456	2.795480066
457	2.794071417
458	2.793107382
459	2.79111349
460	2.790905637
461	2.786994023
462	2.785980753
463	2.783218617
464	2.779514683
465	2.7786369
466	2.777931723
467	2.775767454
468	2.774967659
469	2.773246585
470	2.772495887
471	2.770714973
472	2.768492392
473	2.767982805
474	2.766168656
475	2.764049667
476	2.763110017
477	2.761428513
478	2.760809539
479	2.757943302
480	2.754660363
481	2.751642424
482	2.748991457
483	2.748077769
484	2.745815518
485	2.743855507
486	2.742723169
487	2.738768399
488	2.736154997
489	2.735420121
490	2.734795604
491	2.729669128
492	2.728863181
493	2.726530639
494	2.723684731
495	2.722029724
496	2.721110872
497	2.719158282
498	2.716082674
499	2.714716665
500	2.713620118
501	2.711949732
502	2.711256986
503	2.709912806
504	2.709019875
505	2.708584506
506	2.706299536
507	2.705672913
508	2.703290542
509	2.702783813
510	2.699598187
511	2.697838628
512	2.696793372
513	2.695950443
514	2.692592854
515	2.692183898
516	2.690877907
517	2.689603731
518	2.686107299
519	2.685176347
520	2.681069533
521	2.679045617
522	2.677986727
523	2.676049848
524	2.672954076
525	2.671774919
526	2.669986057
527	2.668741043
528	2.66749477
529	2.66589051
530	2.664961632
531	2.663830023
532	2.66232025
533	2.661984204
534	2.661185437
535	2.659744668
536	2.656255265
537	2.654884639
538	2.653341269
539	2.651279992
540	2.650615255
541	2.648233152
542	2.645577578
543	2.643534764
544	2.641337411
545	2.63810387
546	2.635812929
547	2.633259998
548	2.632127611
549	2.630715662
550	2.629982476
551	2.629284087
552	2.628732919
553	2.626953823
554	2.625936686
555	2.625524867
556	2.622376541
557	2.620071833
558	2.617084099
559	2.616047761
560	2.614105063
561	2.611813472
562	2.611514026
563	2.610596889
564	2.609267888
565	2.60563145
566	2.604967579
567	2.603966323
568	2.602845604
569	2.601576623
570	2.599788247
571	2.597902766
572	2.596949219
573	2.596700127
574	2.594366715
575	2.593746979
576	2.591490917
577	2.590287462
578	2.587294293
579	2.585571521
580	2.585280701
581	2.584174532
582	2.581467234
583	2.579345832
584	2.578352627
585	2.577186795
586	2.575186507
587	2.574722501
588	2.572699483
589	2.570842674
590	2.568749324
591	2.567061444
592	2.566702647
593	2.564807173
594	2.561486252
595	2.560151274
596	2.559079252
597	2.557260651
598	2.555932632
599	2.554199734
600	2.553450233
601	2.551193248
602	2.548773
603	2.547733303
604	2.545769141
605	2.543348146
606	2.542585142
607	2.541937439
608	2.540401657
609	2.537019102
610	2.536351497
611	2.53595544
612	2.532405921
613	2.529011367
614	2.528412928
615	2.526095424
616	2.524241238
617	2.524112948
618	2.522792168
619	2.520835382
620	2.519644063
621	2.519267394
622	2.519184188
623	2.517474437
624	2.516125363
625	2.515609339
626	2.513911954
627	2.512374848
628	2.510927901
629	2.510435899
630	2.51012543
631	2.507949787
632	2.505841392
633	2.504652789
634	2.502714751
635	2.499958304
636	2.499319979
637	2.496240538
638	2.495228883
639	2.494662755
640	2.491516165
641	2.48948096
642	2.487211949
643	2.486003281
644	2.484177018
645	2.483360286
646	2.482635521
647	2.480710639
648	2.48010963
649	2.478874833
650	2.476650237
651	2.47534833
652	2.474643831
653	2.473023663
654	2.472049698
655	2.47145205
656	2.468873613
657	2.466933452
658	2.465940921
659	2.464249652
660	2.463336957
661	2.461373147
662	2.459860636
663	2.457947602
664	2.455032049
665	2.454218129
666	2.45179872
667	2.450501854
668	2.448209545
669	2.445580826
670	2.444032455
671	2.442638068
672	2.440198361
673	2.438738448
674	2.437273119
675	2.434257345
676	2.433535702
677	2.432951693
678	2.431476752
679	2.431183234
680	2.430262146
681	2.428584531
682	2.427835239
683	2.427201022
684	2.425688464
685	2.425011537
686	2.423101371
687	2.421103509
688	2.419839105
689	2.41795129
690	2.416968308
691	2.416175936
692	2.414859067
693	2.413969465
694	2.411314509
695	2.410262968
696	2.408264011
697	2.407624302
698	2.406325263
699	2.404248471
700	2.402313079
701	2.400824495
702	2.399561383
703	2.399024768
704	2.397380956
705	2.395908661
706	2.395697449
707	2.39428464
708	2.393383028
709	2.392001412
710	2.391639294
711	2.390426249
712	2.387556928
713	2.384981218
714	2.384328321
715	2.3820302
716	2.381289663
717	2.380618542
718	2.379546139
719	2.379325362
720	2.378692828
721	2.377987577
722	2.376782325
723	2.374594887
724	2.373280851
725	2.37266477
726	2.371776908
727	2.37131549
728	2.369826233
729	2.368869243
730	2.36861687
731	2.365674787
732	2.36352954
733	2.360984445
734	2.359932341
735	2.358442499
736	2.356144091
737	2.35527261
738	2.353935303
739	2.352652459
740	2.350470585
741	2.350150215
742	2.348147891
743	2.34573684
744	2.344850481
745	2.343229325
746	2.342498787
747	2.34196621
748	2.340703613
749	2.339315161
750	2.337156669
751	2.336690534
752	2.335381702
753	2.333796773
754	2.332907785
755	2.331525544
756	2.330022598
757	2.329465363
758	2.327679295
759	2.326435682
760	2.325178877
761	2.323619935
762	2.323045691
763	2.322295558
764	2.320412
765	2.317907473
766	2.317449955
767	2.316814083
768	2.314821875
769	2.313981407
770	2.312343073
771	2.311492873
772	2.309701836
773	2.308296819
774	2.307207093
775	2.306214743
776	2.30469934
777	2.304328987
778	2.30217444
779	2.300998935
780	2.300532479
781	2.29976622
782	2.298317177
783	2.297189895
784	2.295160224
785	2.29348413
786	2.291991988
787	2.291882086
788	2.290436278
789	2.288591404
790	2.287097271
791	2.285625791
792	2.284522572
793	2.283113923
794	2.281079985
795	2.28061899
796	2.279987258
797	2.278387331
798	2.276558338
799	2.276102713
800	2.275437676
801	2.273763988
802	2.272260468
803	2.271597404
804	2.269086013
805	2.266477325
806	2.265670426
807	2.264003267
808	2.263728703
809	2.261987029
810	2.260792871
811	2.260694379
812	2.260148528
813	2.258521385
814	2.257633204
815	2.256309341
816	2.253642136
817	2.252357504
818	2.251756833
819	2.250185073
820	2.249891066
821	2.248230509
822	2.247883971
823	2.246312624
824	2.244036278
825	2.242632871
826	2.240200221
827	2.238113401
828	2.236790841
829	2.235696659
830	2.235160303
831	2.234013165
832	2.233216496
833	2.231710237
834	2.230599885
835	2.229584054
836	2.228386487
837	2.226559498
838	2.225812714
839	2.225510952
840	2.225020637
841	2.223440486
842	2.222332529
843	2.22044489
844	2.218658434
845	2.218409703
846	2.216882636
847	2.214890536
848	2.213876649
849	2.212828979
850	2.21191704
851	2.210515036
852	2.208930052
853	2.207806133
854	2.207175031
855	2.207027158
856	2.206560247
857	2.205815309
858	2.203725139
859	2.202792774
860	2.202710597
861	2.20125874
862	2.199788883
863	2.198947148
864	2.197839308
865	2.19730787
866	2.19548892
867	2.194527752
868	2.193927754
869	2.193049986
870	2.191776807
871	2.191281938
872	2.189602274
873	2.188251556
874	2.187337868
875	2.18613066
876	2.18490341
877	2.182631497
878	2.18172036
879	2.179795777
880	2.178464822
881	2.177517768
882	2.176464412
883	2.17528411
884	2.173907693
885	2.173109405
886	2.170983084
887	2.170323498
888	2.167328667
889	2.166414492
890	2.165996968
891	2.165192741
892	2.164491691
893	2.16278375
894	2.161646058
895	2.160415288
896	2.159570596
897	2.157238309
898	2.156232269
899	2.155290455
900	2.154510383
901	2.153647294
902	2.153543566
903	2.153164523
904	2.152638402
905	2.152519059
906	2.150000219
907	2.149190325
908	2.148623319
909	2.147214547
910	2.145508358
911	2.144685394
912	2.144560524
913	2.14313987
914	2.142154349
915	2.141599209
916	2.140908626
917	2.140184983
918	2.138357773
919	2.137765803
920	2.137386731
921	2.135460661
922	2.133553026
923	2.133016728
924	2.131409071
925	2.131139924
926	2.129930112
927	2.128977658
928	2.128073282
929	2.12641454
930	2.125173909
931	2.124029253
932	2.122882117
933	2.12212489
934	2.120992718
935	2.120239464
936	2.119807201
937	2.118344212
938	2.118218753
939	2.116636869
940	2.115830286
941	2.114505907
942	2.113706792
943	2.112785642
944	2.111788203
945	2.11089828
946	2.110318436
947	2.109742455
948	2.109123864
949	2.108902869
950	2.107958652
951	2.107867999
952	2.10713772
953	2.106883377
954	2.105738112
955	2.104181629
956	2.103083793
957	2.101268117
958	2.101051696
959	2.09933011
960	2.098170387
961	2.098047737
962	2.097898856
963	2.097084498
964	2.096982425
965	2.095338272
966	2.093655574
967	2.092676959
968	2.091499775
969	2.091182496
970	2.090935941
971	2.09068768
972	2.089841338
973	2.089128799
974	2.089017883
975	2.088864397
976	2.08775397
977	2.08683786
978	2.085600929
979	2.084145577
980	2.083518704
981	2.08292218
982	2.081783087
983	2.081416163
984	2.080806316
985	2.078417319
986	2.076815273
987	2.076506257
988	2.075924699
989	2.074591863
990	2.074029631
991	2.073709384
992	2.073191945
993	2.072883123
994	2.071529119
995	2.071066013
996	2.070604804
997	2.07011441
998	2.068307632
999	2.067807415
